,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race
0,32,Male,Bachelor's,Software Engineer,5,90000,UK,White
1,28,Female,Master's,Data Analyst,3,65000,USA,Hispanic
2,45,Male,PhD,Senior Manager,15,150000,Canada,White
3,36,Female,Bachelor's,Sales Associate,7,60000,USA,Hispanic
4,52,Male,Master's,Director,20,200000,USA,Asian
5,29,Male,Bachelor's,Marketing Analyst,2,55000,USA,Hispanic
6,42,Female,Master's,Product Manager,12,120000,USA,Asian
7,31,Male,Bachelor's,Sales Manager,4,80000,China,Korean
8,26,Female,Bachelor's,Marketing Coordinator,1,45000,China,Chinese
9,38,Male,PhD,Senior Scientist,10,110000,Australia,Australian
10,29,Male,Master's,Software Developer,3,75000,UK,Welsh
11,48,Female,Bachelor's,HR Manager,18,140000,UK,Asian
12,35,Male,Bachelor's,Financial Analyst,6,65000,China,Korean
13,40,Female,Master's,Project Manager,14,130000,USA,African American
14,27,Male,Bachelor's,Customer Service Rep,2,40000,Canada,Asian
15,44,Male,Bachelor's,Operations Manager,16,125000,China,Chinese
16,33,Female,Master's,Marketing Manager,7,90000,USA,Asian
17,39,Male,PhD,Senior Engineer,12,115000,UK,Mixed
18,25,Female,Bachelor's,Data Entry Clerk,0,35000,UK,Asian
19,51,Male,Bachelor's,Sales Director,22,180000,Australia,Asian
20,34,Female,Master's,Business Analyst,5,80000,China,Korean
21,47,Male,Master's,VP of Operations,19,190000,UK,White
22,30,Male,Bachelor's,IT Support,2,50000,UK,Asian
23,36,Female,Bachelor's,Recruiter,9,60000,China,White
24,41,Male,Master's,Financial Manager,13,140000,USA,African American
25,28,Female,Bachelor's,Social Media Specialist,3,45000,Canada,White
26,37,Female,Master's,Software Manager,11,110000,Australia,Asian
27,24,Male,Bachelor's,Junior Developer,1,40000,Australia,Asian
28,43,Female,PhD,Senior Consultant,15,140000,Canada,Black
29,33,Male,Master's,Product Designer,6,90000,China,Korean
30,50,Male,Bachelor's,CEO,25,250000,Canada,Asian
31,31,Female,Bachelor's,Accountant,4,55000,UK,White
32,29,Male,Master's,Data Scientist,3,75000,USA,Hispanic
33,39,Female,Bachelor's,Marketing Specialist,10,65000,Canada,White
34,46,Male,PhD,Senior Manager,20,170000,USA,Hispanic
35,27,Male,Bachelor's,Technical Writer,2,45000,Australia,Asian
36,35,Female,Bachelor's,HR Generalist,7,60000,UK,White
37,42,Male,Master's,Project Engineer,14,115000,China,White
38,26,Female,Bachelor's,Customer Success Rep,1,40000,Canada,Asian
39,49,Male,Bachelor's,Sales Executive,21,160000,China,White
40,34,Female,Master's,UX Designer,5,80000,UK,Asian
41,48,Male,Master's,Operations Director,18,190000,Canada,Black
42,30,Male,Bachelor's,Network Engineer,3,60000,China,Korean
43,36,Female,Bachelor's,Administrative Assistant,8,45000,UK,Asian
44,41,Male,Master's,Strategy Consultant,13,130000,UK,Asian
45,28,Female,Bachelor's,Copywriter,2,40000,USA,White
46,32,Male,Bachelor's,Account Manager,5,75000,Australia,Asian
